index,team_id,player_id,team_name,player_name,role
941,2533075,42989814,The Imperial,Babyknight,2
942,2533075,43619695,The Imperial,HeStEJoE-RoTTeN,3
940,2533075,97590558,The Imperial,Ace,1
996,2537636,35504297,Elements Pro Gaming,LeBronDota,5
995,2537636,43401453,Elements Pro Gaming,g0g1,4
997,2537636,86751819,Elements Pro Gaming,Swiftending,1
999,2537636,90180366,Elements Pro Gaming,Mitch,3
998,2537636,98172857,Elements Pro Gaming,cole,2
936,2538753,26316691,Fantastic Five,IllidanSTR SF46,1
937,2538753,76600360,Fantastic Five,Yol,5
935,2538753,87197791,Fantastic Five,rmN-,4
939,2538753,91701543,Fantastic Five,L0lik_O,3
938,2538753,96196828,Fantastic Five,633,2
925,2552670,31456357,Prodota GaminG,Kefka,3
926,2552670,83867257,Prodota GaminG,Pingvincek,2
929,2552670,85375207,Prodota GaminG,ComeWithMe,4
928,2552670,86793739,Prodota GaminG,Garter,1
927,2552670,109512357,Prodota GaminG,Biver,5
4,2586976,19672354,OG Dota2,n0tail,1
2,2586976,26771994,OG Dota2,JerAx,4
3,2586976,41231571,OG Dota2,s4,3
0,2586976,94155156,OG Dota2,Fly,5
1,2586976,311360822,OG Dota2,ana,2
545,2626685,89246836,EHOME.KEEN,Xi,3
546,2626685,114031486,EHOME.KEEN,QD,1
548,2626685,117990312,EHOME.KEEN,JDH,5
547,2626685,158847773,EHOME.KEEN,佞臣,4
549,2626685,168028715,EHOME.KEEN,zhizhizhi,2
188,2640025,90892734,iG.Vitality,BurNIng,4
639,2640025,103039499,iG.Vitality,super,4
638,2640025,103940975,iG.Vitality,@dogf1ghts,5
187,2640025,111291593,iG.Vitality,InJuly,3
185,2640025,137193239,iG.Vitality,Paparazi灬,1
189,2640025,140153524,iG.Vitality,Q,5
186,2640025,173880329,iG.Vitality,Sakata,2
9,2642171,27178898,Team AD FINEM,Skylark,3
8,2642171,86953414,Team AD FINEM,Maybe Next Time,4
5,2642171,92949094,Team AD FINEM,SsaSpartan,5
6,2642171,95430068,Team AD FINEM,Madara,1
7,2642171,107855479,Team AD FINEM,ThuG.,2
137,2659468,94296097,WarriorsGaming.Unity,xNova-,5
138,2659468,101525357,WarriorsGaming.Unity,KanGaroo,3
139,2659468,113457795,WarriorsGaming.Unity,NaNa,2
135,2659468,119576842,WarriorsGaming.Unity,ah fu ,4
136,2659468,126417273,WarriorsGaming.Unity,Ah Jit,1
659,2672298,95825708,Infamous -_^,Kotarō.sr4ever,2
658,2672298,99796146,Infamous -_^,12시 30분 (1230),5
655,2672298,119631156,Infamous -_^,kiNG,4
1348,2672298,185202677,Infamous -_^,,
656,2672298,194521913,Infamous -_^,SUPER BENJAZ,1
657,2672298,242697694,Infamous -_^,kingteka,3
653,2677025,11929046,"Friendship, Dedication, Love",04,4
654,2677025,76173488,"Friendship, Dedication, Love",MJW,3
650,2677025,86974263,"Friendship, Dedication, Love",Stan King,5
651,2677025,115141430,"Friendship, Dedication, Love",747,2
652,2677025,170532209,"Friendship, Dedication, Love",Beesa,1
954,2701329,40586005,Team Freedom Dota 2,WwD,2
950,2701329,52191022,Team Freedom Dota 2,Eagle,5
953,2701329,86715129,Team Freedom Dota 2,ixmike88,3
952,2701329,94364925,Team Freedom Dota 2,monk,1
951,2701329,104275965,Team Freedom Dota 2,Jubei,4
1000,2783913,4281729,Escape Gaming,syndereN,5
1002,2783913,86738694,Escape Gaming,qojqva,2
1003,2783913,89117038,Escape Gaming,YapzOr,4
1001,2783913,100317750,Escape Gaming,Era,1
1004,2783913,169025618,Escape Gaming,KheZu,3
1307,2860081,89166519,team_ftd_a,prettyhaw,5
1309,2860081,135656964,team_ftd_a,xiaofu,3
1308,2860081,139174891,team_ftd_a,897,2
1305,2860081,157475523,team_ftd_a,Sola,4
1306,2860081,173812218,team_ftd_a,Oohyo,5
1271,2880140,59273184,Fire Dragoon,yaNG,4
1274,2880140,86780673,Fire Dragoon,Ben,3
1272,2880140,93844612,Fire Dragoon,BrayaNt`,2
1270,2880140,108939324,Fire Dragoon,Ben,3
1273,2880140,144335589,Fire Dragoon,xiaNG,1
118,3214108,40547474,Team NP,Aui_2000,1
115,3214108,43276219,Team NP,EternaLEnVy,2
119,3214108,47434686,Team NP,SVG,4
116,3214108,86726887,Team NP,MSS,3
117,3214108,87196890,Team NP,Rose,5
838,3326126,80929738,Team VG.J,qwer,2
835,3326126,91698091,Team VG.J,rOtk,3
837,3326126,113800818,Team VG.J,Fenrir,4
839,3326126,130416036,Team VG.J,孙正,1
836,3326126,135384059,Team VG.J,hym,5
216,3326875,21289303,Faceless,brown rice,1
218,3326875,84772440,Faceless,金闪闪,3
219,3326875,85417034,Faceless,confused,4
217,3326875,89603649,Faceless,NutZ,5
215,3326875,100471531,Faceless,Zone,2
86,3331948,90882159,LGD.Forever Young,Super,2
87,3331948,98878010,LGD.Forever Young,Yao,3
85,3331948,98887913,LGD.Forever Young,Xiao8,4
88,3331948,114239371,LGD.Forever Young,ddc,5
585,3331948,136186119,LGD.Forever Young,PPC,5
89,3331948,139280377,LGD.Forever Young,END,1
588,3331948,148215639,LGD.Forever Young,Monet,1
,,,Team Empire,Chappie,
,,,Team Empire,fn,
,,,Team Empire,Ghostik,
,,,Team Empire,ALWAYSWANNAFLY,
,,,Team Empire,KingR,
,,,Horde,Gorgc,
,,,Horde,Xcalibur,
,,,Horde,Eskillz,
,,,Horde,Pablo,
,,,Horde,Akke,
,,,F.R.I.E.N.D.S.,ALOHADANCE,
,,,F.R.I.E.N.D.S.,yoky-,
,,,F.R.I.E.N.D.S.,AfterLife,
,,,F.R.I.E.N.D.S.,Bignum,
,,,F.R.I.E.N.D.S.,NoFear,
